time(us),speed(um/sec),reference current(mA),current(mA)
2633984,43722,353,390
2636864,56214,264,338
2639680,44730,346,338
2642560,37476,400,312
2645440,56214,267,338
2648256,51120,302,260
2651136,43722,356,364
2654016,43722,357,338
2656896,56214,268,338
2659712,57510,257,286
2662592,49968,310,260
2665472,49968,310,286
2668288,63900,209,260
2671168,56214,261,208
2674048,43722,350,312
2676864,57510,252,256
2679744,56214,259,234
2682624,49968,303,286
2685504,43722,348,260
2688320,57510,250,390
2691200,56214,257,0
2693888,53568,275,286
2696768,43722,345,286
2699584,51120,293,364
2702464,43722,347,286
2705344,31230,439,338
2708224,43722,353,442
2711040,51120,301,442
2713920,37476,400,338
2716800,37476,404,390
2719616,44730,354,442
2722496,49968,318,364
2725376,43722,363,286
2728192,44730,357,416
2731072,56214,275,338
2733952,49968,319,338
2736768,44730,357,312
2739648,43722,366,338
2742528,49968,322,312
2745344,57510,267,312
2748224,49968,320,260
2751104,49968,320,364
2753920,51120,312,338
2756800,56214,274,364
2759680,56214,273,286
2762560,56214,271,256
2765376,57510,260,260
2768256,49968,313,312
2771136,49968,313,312
2773952,57510,258,312
2776832,62460,220,286
2779712,56214,262,260
2782592,43722,351,260
2785408,44730,346,256
2788288,49968,309,338
2791168,43722,354,390
2793984,44730,349,312
2796864,49968,312,364
2799744,43722,357,286
2802560,38340,398,364
2805440,43722,362,338
2808320,49968,319,338
2811136,57510,264,286
2814016,49968,317,260
2816896,43722,362,338
2819712,51120,310,338
2822592,56214,273,286
2825472,43722,362,312
2828288,51120,310,338
2831168,49968,318,364
2834048,49968,318,312
2836864,44730,356,312
2839744,43722,365,260
2842624,56214,275,338
2845504,56214,274,286
2848320,51120,309,260
2851200,49968,317,312
2854080,56214,272,312
2856896,51120,307,234
2859776,49968,315,260
2862656,56214,270,338
2865472,51120,305,312
2868352,43722,359,286
2871232,43722,360,416
2874112,49968,317,312
2876928,57510,262,338
2879808,49968,315,234
2882688,49968,315,286
2885504,57510,260,312
2888384,49968,313,286
2891264,49968,313,260
2894080,51120,304,260
2896960,56214,267,286
2899840,43722,356,234
2902656,38340,397,338
2905536,49968,315,442
2908416,49968,315,312
2911232,51120,307,286
2914112,49968,315,0
2916800,46872,338,260
2919680,43722,361,286
2922496,44730,356,312
2925376,56214,274,312
2928256,56214,272,312
2931136,49968,316,312
2933952,44730,354,260
2936832,56214,272,312
2939712,56214,270,234
2942528,51120,305,260
2945408,56214,268,312
2948288,62460,221,286
2951168,43722,354,338
2953984,44730,348,312
2956864,56214,266,338
2959744,62460,219,286
2962560,44730,345,260
2965440,43722,353,256
2968320,56214,264,338
2971136,57510,253,286
2974016,49968,306,260
2976896,49968,306,312
2979712,51120,298,260
2982592,49968,306,312
2985472,37476,396,338
2988352,49968,309,442
2991168,51120,301,286
2994048,43722,354,260
2996928,43722,356,312
2999744,57510,257,364
3002624,49968,310,312
3005504,43722,356,338
3008320,51120,303,260
3011200,56214,266,286
3014080,49968,310,286
3016896,44730,348,312
3019776,56214,266,338
3022656,56214,264,312
3025536,49968,308,260
3028352,44730,346,260
3031232,56214,264,312
3034112,56214,262,286
3036928,51120,298,286
3039808,56214,260,286
3042688,62460,213,234
3045568,49968,301,234
3048384,44730,339,312
3051264,49968,302,286
3054080,63900,201,338
3056960,49968,298,234
3059840,43722,344,312
3062720,49968,300,390
3065536,51120,292,286
3068416,49968,300,286
3071296,43722,345,286
3074112,51120,293,338
3076992,56214,256,256
3079872,49968,299,260
3082688,44730,338,286
3085568,56214,255,312
3088448,49968,299,234
3091264,44730,337,390
3094144,49968,301,338
3097024,49968,301,312
3099840,51120,292,390
3102720,43722,346,260
3105600,49968,302,364
3108416,57510,247,286
3111296,43722,345,312
3114176,43722,347,338
3116992,51120,295,338
3119872,56214,258,338
3122752,43722,347,260
3125632,43722,349,312
3128448,51120,296,364
3131328,49968,305,286
3134208,49968,305,312
3137024,51120,296,312
3139904,49968,304,234
3142784,49968,304,312
3145600,51120,296,286
3148480,49968,304,256
3151360,49968,304,364
3154176,51120,296,338
3157056,56214,258,260
3159936,49968,302,286
3162752,57510,247,260
3165632,49968,300,260
3168512,43722,345,286
3171328,57510,247,390
3174208,49968,300,260
3177088,43722,345,312
3179968,49968,301,390
3182784,51120,293,260
3185664,49968,301,312
3188544,43722,347,286
3191360,51120,295,390
3194240,43722,348,234
3197120,43722,350,338
3199936,44730,344,338
3202816,56214,262,338
3205696,49968,306,286
3208512,44730,344,364
3211392,49968,307,390
3214272,43722,353,312
3217088,44730,347,256
3219968,43722,356,256
3222848,56214,267,312
3225664,51120,302,234
3228544,49968,310,338
3231424,43722,355,364
3234240,44730,350,338
3237120,62460,222,312
3240000,62460,219,208
3242880,49968,306,208
3245696,44730,344,338
3248576,56214,262,364
3251456,49968,306,208
3254272,51120,298,260
3257152,56214,260,312
3260032,49968,304,338
3262848,44730,342,338
3265728,43722,351,416
3268608,49968,307,364
3271424,51120,299,260
3274304,43722,352,260
3277184,37476,399,312
3280064,43722,357,416
3282880,51120,305,256
3285760,43722,359,364
3288640,43722,360,364
3291456,51120,308,338
3294336,43722,362,312
3297216,37476,409,312
3300032,44730,360,390
3302912,49968,323,416
3305792,43722,368,312
3308608,44730,363,338
3311488,43722,371,390
3314368,49968,328,364
3317184,44730,366,364
3320064,43722,375,416
3322944,49968,331,390
3325760,51120,322,312
3328640,49968,331,312
3331520,43722,376,312
3334336,57510,277,364
3337216,56214,285,312
3340096,49968,329,338
3342976,56214,283,260
3345792,57510,272,312
3348672,49968,325,286
3351552,56214,280,312
3354368,57510,268,312
3357248,56214,276,286
3360128,49968,320,390
3362944,51120,311,364
3365824,56214,274,312
3368704,56214,272,312
3371584,56214,271,312
3374400,51120,306,260
3377280,56214,269,312
3380160,56214,267,312
3383040,43722,356,208
3385856,51120,304,338
3388736,56214,267,286
3391616,43722,356,338
3394432,44730,350,364
3397312,49968,313,338
3400192,56214,268,312
3403008,44730,350,286
3405888,49968,313,286
3408768,56214,268,286
3411584,57510,257,260
3414464,43722,355,260
3417344,49968,311,338
3420224,56214,266,260
3423040,57510,255,286
3425920,49968,308,234
3428800,56214,262,234
3431616,63900,205,286
3434496,49968,302,234
3437376,49968,302,286
3440192,57510,247,312
3443072,56214,255,260
3445952,49968,299,234
3448768,51120,290,312
3451648,49968,298,312
3454528,43722,344,0
3457216,53568,274,338
3460096,56214,254,286
3462912,51120,289,286
3465792,43722,342,260
3468672,49968,299,312
3471488,57510,244,416
3474368,49968,297,260
3477248,43722,342,364
3480064,51120,290,286
3482944,56214,253,312
3485824,37476,387,234
3488704,43722,345,286
3491520,57510,247,390
3494400,49968,300,286
3497280,37476,390,286
3500096,51120,295,338
3502976,56214,257,312
3505856,43722,346,260
3508672,44730,341,364
3511552,56214,259,364
3514432,56214,257,338
3517312,43722,346,234
3520128,51120,294,256
3523008,62460,211,338
3525888,56214,253,260
3528704,44730,335,234
3531584,43722,344,312
3534464,56214,255,416
3537344,43722,344,234
3540160,51120,292,312
3543040,56214,255,338
3545920,56214,253,260
3548736,44730,335,234
3551616,49968,298,338
3554496,56214,253,286
3557312,51120,288,234
3560192,43722,341,260
3563072,49968,298,338
3565952,49968,298,338
3568768,44730,336,312
3571648,43722,345,312
3574528,56214,255,338
3577344,51120,291,286
3580224,49968,299,286
3583104,43722,344,256
3585920,51120,292,256
3588800,49968,300,286
3591680,49968,300,312
3594496,51120,292,286
3597376,43722,345,286
3600256,43722,347,364
3603072,51120,295,364
3605952,56214,258,312
3608832,56214,256,208
3611712,43722,345,260
3614528,44730,339,312
3617408,49968,303,312
3620288,56214,257,286
3623104,57510,246,260
3625984,49968,299,260
3628864,49968,299,312
3631680,51120,291,286
3634560,49968,299,312
3637440,56214,253,260
3640256,51120,289,286
3643136,56214,251,256
3646016,49968,295,234
3648896,49968,295,260
3651712,51120,287,312
3654592,49968,295,312
3657472,56214,250,338
3660288,51120,285,256
3663168,49968,293,260
